عنوان,نوع معامله,محله,متراژ,سال ساخت,تعداد اتاق,قیمت کل,قیمت هر متر,طبقه,تاریخ انتشار,لینک
فروش آپارتمان دو واحد مجزا,فروش,بازکیاگوراب,۲۲۰,۱۳۹۸,۲,"‏۱۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۵,۴۵۴,۰۰۰ تومان",۲ از ۲,۲ شهریور ۱۴۰۵، ۰۶:۲۰,https://divar.ir/v/gaLC710v
فروش زمین ۱۲۷ متری مسکونی_ویو دار_ اینده دار,فروش,لیالستان,,,,"‏۳,۸۰۰,۰۰۰,۰۰۰ تومان","‏۲۹,۹۲۱,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۳:۳۶,https://divar.ir/v/gaR2FKAT
500 متر باغی داخل طرح,فروش,بازکیاگوراب,,,,"‏۱,۷۵۰,۰۰۰,۰۰۰ تومان","‏۳,۵۰۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۳:۳۲,https://divar.ir/v/gaRuViHu
فروش زمین مسکونی با سند تک برگ سوستان,فروش,لیل,,,,"‏۴,۶۰۰,۰۰۰,۰۰۰ تومان","‏۲۶,۵۸۹,۰۰۰ تومان",,۲۴ تیر ۱۴۰۵، ۱۹:۱۳,https://divar.ir/v/gaXpKg_H
مغازه تجاری بر کمربندی با موقعیت عالی,فروش,حاجی آباد,۴۵,۱۳۹۸,بدون اتاق,"‏۱۵,۶۵۰,۰۰۰,۰۰۰ تومان","‏۳۴۷,۷۷۷,۰۰۰ تومان",,۱۴ تیر ۱۴۰۵، ۰۹:۲۴,https://divar.ir/v/gaJFvgAK
ملک کاملِ عرصه و اعیان سرمایه‌گذاری و کاربری تجاری,فروش,حاجی آباد,۲۹۹,۱۳۹۹,۴,"‏۲۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۹۱,۹۷۳,۰۰۰ تومان",۱ از ۲,۱۳ خرداد ۱۴۰۵، ۰۸:۴۶,https://divar.ir/v/gafgbl_n
زمین باغی مسکونی لاهیجان 4500 متر,فروش,لیالستان,,,,"‏۳۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶,۶۶۶,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۳:۲۲,https://divar.ir/v/gaRiFe4-
۴۰۰ متر زمین ویو نقاشی در گیلان,فروش,کوی خزر,,,,"‏۲,۵۰۰,۰۰۰,۰۰۰ تومان","‏۶,۲۵۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۳:۱۴,https://divar.ir/v/gaRe1uVY
زمین بالوکیشن خوب مناسب سرمایه گذاری,فروش,آهندان,,,,"‏۲,۴۰۰,۰۰۰,۰۰۰ تومان","‏۲,۱۸۱,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۱۰:۲۹,https://divar.ir/v/gaA2gznZ
زمین شیخ زاهد معاوضه با مغازه,فروش,شیخ زاهد,,,,"‏۳۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۸۶,۲۷۴,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۲:۵۶,https://divar.ir/v/gaRSlRYv
فروش فوری یک واحدآپارتمان ۱۵۴متری فول هوشمند,فروش,لیل,۱۵۴,۱۴۰۵,۳,"‏۳۲,۳۰۰,۰۰۰,۰۰۰ تومان","‏۲۰۹,۷۴۰,۰۰۰ تومان",۱ از ۵,۶ شهریور ۱۴۰۵، ۱۲:۳۹,https://divar.ir/v/gaR-EVzJ
واحد ۶۰ متری دو خواب خوش نقشه بدون پرتی,رهن کامل,گلستان,۶۰,۱۳۹۵,۲,,,۳ از ۳,۶ شهریور ۱۴۰۵، ۱۲:۳۳,https://divar.ir/v/gaR6Ewop
بر اصلی گلستان یازده فول امکانات,فروش,گلستان,۹۱,۱۳۹۷,۲,"‏۱۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۴۸,۳۵۱,۰۰۰ تومان",۱,۶ شهریور ۱۴۰۵، ۱۲:۳۰,https://divar.ir/v/gaR6EGKh
فروش مغازه با مالکیت بر خیابان اصلی ___پیروز,فروش,حاجی آباد,۲۲,۱۴۰۵,بدون اتاق,"‏۱۰,۹۰۰,۰۰۰,۰۰۰ تومان","‏۴۹۵,۴۵۴,۰۰۰ تومان",,۱۷ تیر ۱۴۰۵، ۱۶:۲۱,https://divar.ir/v/gaOdUl4A
فروش آپارتمان تکواحد ۱۱۵ متری( بهشتی زوج),فروش,شیشه گران,۱۱۵,۱۴۰۵,۲,"‏۲۴,۵۰۰,۰۰۰,۰۰۰ تومان","‏۲۱۳,۰۴۳,۰۰۰ تومان",۳ از ۴,۴ شهریور ۱۴۰۵، ۱۱:۴۲,https://divar.ir/v/gaO-JuXl
اجاره در سادات محله,رهن و اجاره,آهندان,۷۰,۱۳۹۴,۲,,,۱,۶ شهریور ۱۴۰۵، ۱۲:۱۴,https://divar.ir/v/gaRqETrI
فروش آپارتمان تکواحدی (( کارگر فرد)) بر اصلی,فروش,رجایی,۱۴۸,۱۳۹۷,۳,"‏۲۴,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۶۵,۵۴۰,۰۰۰ تومان",۱ از ۵,۱۹ مرداد ۱۴۰۵، ۱۸:۴۰,https://divar.ir/v/ga5l-d6A
فروش آپارتمان تکواحدی ویو دار( سعدی زوج),فروش,کوه بیجار,۱۰۰,۱۴۰۴,۲,"‏۱۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۶۰,۰۰۰,۰۰۰ تومان",۴ از ۴,۲۱ مرداد ۱۴۰۵، ۰۳:۰۰,https://divar.ir/v/ga7BLTA9
زمین مسکونی روستای تموشل,فروش,آهندان,,,,"‏۳,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۳,۰۱۳,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۲:۰۱,https://divar.ir/v/gaRekbPj
اجاره مطب پزشکی کوچه توکلی لاهیجان,رهن و اجاره,انقلاب,۸۵,۱۴۰۳,۲,,,۱,۱۲ مرداد ۱۴۰۵، ۱۸:۰۵,https://divar.ir/v/gawdqH4t
۹۰ متری_تک واحد_گلستان ۲۳_فول بازسازی,فروش,گلستان,۸۹,۱۳۸۹,۲,"‏۷,۹۵۰,۰۰۰,۰۰۰ تومان","‏۸۹,۳۲۵,۰۰۰ تومان",۳ از ۳,۱۹ تیر ۱۴۰۵، ۱۴:۱۸,https://divar.ir/v/gaQ1sucd
آپارتمان ۱۶۸ متری با ویوی باغ میرصفا,فروش,شقایق,۱۶۸,۱۳۹۷,۳,"‏۳۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۷۸,۵۷۱,۰۰۰ تومان",۱ از ۵,۹ مرداد ۱۴۰۵، ۱۰:۴۷,https://divar.ir/v/gastE4id
فروش زمین،زمین فروشی باغی،سرمایه گذاری،ساخت ویلا,فروش,لیالستان,,,,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۹,۶۲۴,۰۰۰ تومان",,۸ مرداد ۱۴۰۵، ۱۱:۲۱,https://divar.ir/v/garJwY1x
واگذاری مغازه آبمیوه بستنی,رهن و اجاره,کوی خزر,۳۰,۱۳۹۳,بدون اتاق,,,,۶ شهریور ۱۴۰۵، ۱۱:۴۰,https://divar.ir/v/gaRKUY7j
۱ واحد آپارتمان ۸۵ متری دو خواب فول امکانات,فروش,گلستان,۸۵,۱۴۰۵,۲,"‏۹,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۵,۸۸۲,۰۰۰ تومان",۳ از ۴,۶ شهریور ۱۴۰۵، ۱۱:۳۷,https://divar.ir/v/gaRGEtuv
زمین,فروش,آهندان,,,,"‏۴,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۲,۰۰۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۱:۲۲,https://divar.ir/v/gaR6jNUJ
اجاره فروش سوله صنعتی بهداشتی,رهن و اجاره,آهندان,۲۰۰,۱۳۹۸,۱,,,,۲۷ مرداد ۱۴۰۵، ۰۸:۵۴,https://divar.ir/v/gaDCC_hE
۸۰۰ متر ویلا کاخ,رهن و اجاره,شیشه گران,۲۷۰,۱۴۰۲,۳,,,,۶ شهریور ۱۴۰۵، ۱۱:۱۰,https://divar.ir/v/gaRqz7l_
خانه ویلایی برای ساخت و‌ساز,فروش,شهرک سلمان فارسی,,,,"‏۲۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۹,۷۰۴,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۰:۵۵,https://divar.ir/v/gaReTsKw
اجاره سوییت ۳۰ متری تک نفره,رهن و اجاره,جمهوری,۳۰,۱۴۰۵,بدون اتاق,,,,۶ شهریور ۱۴۰۵، ۱۰:۴۲,https://divar.ir/v/gaRSjfDp
خونه ویلایی فیاض,فروش,شهرک سلمان فارسی,۹۵,۱۳۹۰,۲,"‏۶,۴۰۰,۰۰۰,۰۰۰ تومان","‏۶۷,۳۶۸,۰۰۰ تومان",همکف,۳۱ مرداد ۱۴۰۵، ۲۲:۵۱,https://divar.ir/v/gaJaPk3h
زمین یاسر مسکونی زیر قیمت.فروش فوری,فروش,لیالستان,,,,"‏۱,۶۰۰,۰۰۰,۰۰۰ تومان","‏۱۶,۱۶۱,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۸:۳۶,https://divar.ir/v/ga3VE3VN
فروش ویلا و زمین، مشاوره رایگان به همشهری اصفهانی,فروش,بوجایه,۱۰۰,۱۴۰۰,۲,"‏۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰,۰۰۰,۰۰۰ تومان",,۲ شهریور ۱۴۰۵، ۱۵:۱۹,https://divar.ir/v/gaM-inaL
فروش ملک,فروش,بازکیاگوراب,۷۸,۱۴۰۱,۲,"‏۵,۶۰۰,۰۰۰,۰۰۰ تومان","‏۷۱,۷۹۴,۰۰۰ تومان",۲,۳ شهریور ۱۴۰۵، ۱۴:۲۸,https://divar.ir/v/gaNWXPkZ
ویلانوسازمدرن لاکچری کاشف شرقی,رهن و اجاره,شهید آوینی,۱۰۰,۱۴۰۴,۲,,,۱,۳۱ مرداد ۱۴۰۵، ۱۴:۱۴,https://divar.ir/v/gaJ2Xc27
1ثانیه تااستخر_91mفول شیک بروز,رهن کامل,گلستان,۹۱,۱۳۹۹,۲,,,۱,۲ شهریور ۱۴۰۵، ۱۱:۳۳,https://divar.ir/v/gaLqvcqN
فروش ملک دوبلکس مستقل و آموزشگاه فعال در شیشه گران,فروش,شیشه گران,۱۱۰,۱۳۹۸,۴,"‏۲۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۲۵۰,۰۰۰,۰۰۰ تومان",۱,۲۳ مرداد ۱۴۰۵، ۱۶:۳۳,https://divar.ir/v/ga_JBGI-
واحد شیک ۷۵متری طبقه۲,فروش,حاجی آباد,۷۵,۱۴۰۰,۲,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸۰,۰۰۰,۰۰۰ تومان",۲ از ۲,۶ شهریور ۱۴۰۵، ۰۹:۳۶,https://divar.ir/v/gaRWyU2q
تک واحدی ویو ابدی بر اصلی شیخ زاهد,فروش,گلستان,,,,,,,۶ شهریور ۱۴۰۵، ۰۹:۲۸,https://divar.ir/v/gaRKiuVO
فروش واحد ۷۲ متری,فروش,شهید آوینی,۷۲,۱۳۹۸,۲,"‏۱۰,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۰,۰۰۰,۰۰۰ تومان",۲ از ۳,۳ شهریور ۱۴۰۵، ۱۰:۴۰,https://divar.ir/v/gaN-zyg4
ویلا باغ ۶۵۰ متر مسکونی،استخردار سند تکبرگ,فروش,شقایق,۱۴۰,۱۳۹۸,۳,"‏۲۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۸,۴۶۱,۰۰۰ تومان",,۱ تیر ۱۴۰۵، ۱۷:۵۵,https://divar.ir/v/ga5YQJ8A
اجاره بلند مدت یکساله سوئیت 63 متری,رهن و اجاره,لیالستان,۶۳,۱۳۹۰,۱,,,,۱۹ تیر ۱۴۰۵، ۲۲:۳۶,https://divar.ir/v/gaRJkp5z
فروش فوری زمین در دستک,فروش,رجایی,,,,"‏۶,۳۶۰,۰۰۰,۰۰۰ تومان","‏۲۰,۰۰۰,۰۰۰ تومان",,۲۱ مرداد ۱۴۰۵، ۰۰:۲۰,https://divar.ir/v/ga7ho6ME
فروش واحد مستقل دوخواب لاهیجان,فروش,آهندان,۹۰,۱۳۹۵,۲,"‏۷,۹۰۰,۰۰۰,۰۰۰ تومان","‏۸۷,۷۷۷,۰۰۰ تومان",۱,۶ شهریور ۱۴۰۵، ۰۸:۵۱,https://divar.ir/v/gaRqhT0a
فروش یه واحد ۱۱۰متری در گلستان طبقه چهار,فروش,گلستان,۱۱۰,۱۴۰۱,۲,"‏۱۲,۴۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۲,۷۲۷,۰۰۰ تومان",۴ از ۴,۶ شهریور ۱۴۰۵، ۰۸:۱۷,https://divar.ir/v/gaRKhrhA
آپارتمان کلید نخورده,فروش,شهرک فرهنگیان,۱۳۳,۱۴۰۵,۳,"‏۱۸,۲۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۶,۸۴۲,۰۰۰ تومان",۱ از ۸,۶ شهریور ۱۴۰۵، ۰۸:۰۹,https://divar.ir/v/gaRCBlku
فروش زمین مسکونی باپروانه ساخت وبنا,فروش,لیالستان,,,,"‏۳,۸۵۰,۰۰۰,۰۰۰ تومان","‏۱۱,۵۹۶,۰۰۰ تومان",,۲۵ مرداد ۱۴۰۵، ۲۰:۲۴,https://divar.ir/v/gaBqOz7H
فروش زمین مسکونی,فروش,آهندان,,,,"‏۴,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۶,۰۰۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۰۵:۵۲,https://divar.ir/v/gaQC_kRN
زمین فروشی,فروش,بوجایه,,,,"‏۹,۳۰۷,۰۰۰,۰۰۰ تومان","‏۴۱,۰۰۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۰۵:۴۵,https://divar.ir/v/gaQ-ePUm
فروش زمین در لاهیجان روستای کابیجار,فروش,لیل,,,,"‏۴,۶۲۰,۰۰۰,۰۰۰ تومان","‏۶,۰۰۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۰۲:۴۱,https://divar.ir/v/gaQOM8Wr
دو قطعه زمین ۱۷۳ متری چسبیده به هم در لاهیجان,فروش,لیل,,,,"‏۳۴۰,۰۰۰,۰۰۰ تومان","‏۱,۹۶۵,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۰۰:۵۵,https://divar.ir/v/gaQuaPAP
۵۶۰ متر مسکونی زمین ویو دار ابدی کابیجار ـ سرچشمه,فروش,لیل,,,,"‏۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۲,۵۰۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۰۰:۳۹,https://divar.ir/v/gaQeqH08
اجاره واحد در وحدت,رهن و اجاره,بوجایه,۷۰,۱۳۹۴,۲,,,۱,۶ شهریور ۱۴۰۵، ۰۰:۱۱,https://divar.ir/v/gaQCakMt
فروش عالی انبار,فروش,بوجایه,,,,"‏۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۴,۸۸۳,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۲۲:۴۲,https://divar.ir/v/gaQuovD6
فروش فوری انبار,فروش,آهندان,,,بدون اتاق,"‏۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۵,۲۹۴,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۲۲:۳۴,https://divar.ir/v/gaQmY9RK
1خ.رهن واجاره. 300,رهن و اجاره,لیالستان,۶۰,۱۳۸۰,۱,,,,۲۶ مرداد ۱۴۰۵، ۱۰:۲۹,https://divar.ir/v/gaCGLAS6
زمین۳۷۰مترویلاشهری_۳بر۲کله بالاشهر_اخرین پلاک جنگل,فروش,شهید آوینی,,,,"‏۴۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۲۷,۰۲۷,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۲۲:۱۲,https://divar.ir/v/gaQ6X2NG
اجاره خانه ۶۰ متری,رهن و اجاره,آهندان,۶۰,۱۴۰۰,۱,,,,۵ شهریور ۱۴۰۵، ۲۱:۵۵,https://divar.ir/v/gaQG4C4v
ویلایی مرکز شهر بازسازی شده,فروش,فیاض,۱۰۰,۱۳۷۷,۳,"‏۱۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۲۰,۰۰۰,۰۰۰ تومان",,۱۳ تیر ۱۴۰۵، ۱۰:۳۴,https://divar.ir/v/gaIBLWR5
انتخاب شماره یک سرمایه گذاران_تمامامسکونی کوهستانی,فروش,آهندان,,,,"‏۱۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۷,۰۰۰,۰۰۰ تومان",,۷ تیر ۱۴۰۵، ۱۹:۰۴,https://divar.ir/v/gaB5D9Ki
الماس3هکتاری ساحلی_ساخت برج،شهرک_پروژه های گردشگری,فروش,شیخ زاهد,,,,"‏۶۰۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۰,۰۰۰,۰۰۰ تومان",,۷ تیر ۱۴۰۵، ۱۹:۰۶,https://divar.ir/v/gaB9jhJ6
زمینی خاص برای باغ‌رستوران_مجموعه گردشگری_نخجیر,فروش,گلستان,,,,"‏۶۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۷,۸۹۱,۰۰۰ تومان",,۷ تیر ۱۴۰۵، ۲۰:۳۵,https://divar.ir/v/gaBRlQIk
پنت‌هاوس لوکس 360متری_تراس قابل چیدمان_کم‌نظیر،خاص,فروش,شیشه گران,۳۷۰,۱۴۰۵,۴,"‏۸۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۲۹,۷۲۹,۰۰۰ تومان",۶ از ۶,۶ مرداد ۱۴۰۵، ۲۲:۰۱,https://divar.ir/v/gaoR_UYS
زمین ۶۵۰ متری_ایده‌آل ساخت ویلا_لوکیشن برنددره‌جیر,فروش,آهندان,,,,"‏۱۸,۸۵۰,۰۰۰,۰۰۰ تومان","‏۲۹,۰۰۰,۰۰۰ تومان",,۹ خرداد ۱۴۰۵، ۰۴:۳۲,https://divar.ir/v/gaacjHGh
۸۵ متر کلید نخورده میدان انتظام,فروش,حاجی آباد,۸۵,۱۴۰۵,۲,"‏۹,۳۵۰,۰۰۰,۰۰۰ تومان","‏۱۱۰,۰۰۰,۰۰۰ تومان",۳ از ۴,۲۳ مرداد ۱۴۰۵، ۰۲:۱۵,https://divar.ir/v/ga-hE_eB
ویلا نوساز ۲۵۰ متری _ چوشل لاهیجان,فروش,شیشه گران,۱۰۰,۱۴۰۵,۲,"‏۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۳۰,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۲۱:۴۴,https://divar.ir/v/gaQ6nE0P
۱۶۵ متر کلید نخورده میدان انتظام,فروش,حاجی آباد,۱۶۵,۱۴۰۵,۳,"‏۱۸,۱۵۰,۰۰۰,۰۰۰ تومان","‏۱۱۰,۰۰۰,۰۰۰ تومان",۴ از ۴,۱۷ خرداد ۱۴۰۵، ۱۳:۰۱,https://divar.ir/v/galoDSNM
واحد اداری کلیدنخورده دو خواب بر اصلی شقایق,رهن کامل,شقایق,۸۰,۱۴۰۵,۲,,,۱,۵ شهریور ۱۴۰۵، ۲۱:۳۹,https://divar.ir/v/gaQ2nTGO
مغازه بر اصلی شقایق بدون مشابه,رهن کامل,شقایق,۸۰,۱۴۰۵,بدون اتاق,,,,۵ شهریور ۱۴۰۵، ۲۱:۳۵,https://divar.ir/v/gaQyHQDo
فروش آپارتمان ۹۶م لاهیجان بلوار امام رضا جنب استخر,فروش,کوی خزر,۹۶,۱۳۹۸,۲,"‏۱۴,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۴۵,۸۳۳,۰۰۰ تومان",۱ از ۵,۵ شهریور ۱۴۰۵، ۲۱:۲۴,https://divar.ir/v/gaQmnDQ8
۹۰متری خوش نقشه کوچه نوربخش,رهن و اجاره,کوی آزادگان,۹۰,۱۳۹۵,۲,,,۳,۵ شهریور ۱۴۰۵، ۲۱:۱۲,https://divar.ir/v/gaQanvMH
فروش یا تهاتر آپارتمان 96 متری نوساز در سنگر,فروش,گلستان,۹۶,۱۴۰۳,۲,"‏۶,۶۳۵,۰۰۰,۰۰۰ تومان","‏۶۹,۱۱۴,۰۰۰ تومان",۱,۳۱ مرداد ۱۴۰۵، ۱۶:۴۹,https://divar.ir/v/gaJG6c97
اجاره خانه در روستای کوشال,رهن و اجاره,لیالستان,۸۰,قبل از ۱۳۷۰,۲,,,,۵ شهریور ۱۴۰۵، ۲۰:۵۹,https://divar.ir/v/gaQOH4dv
زمین در اسپیلی ۱۰۰۰ متری,فروش,قیام,,,,"‏۲,۴۰۰,۰۰۰,۰۰۰ تومان","‏۲,۳۸۳,۰۰۰ تومان",,۲۵ تیر ۱۴۰۵، ۲۲:۵۷,https://divar.ir/v/gaZBTap7
زمین ۷۵۰ متری,فروش,حزین,,,,"‏۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۴,۶۲۹,۰۰۰ تومان",,۳ مرداد ۱۴۰۵، ۲۱:۰۸,https://divar.ir/v/gakRPG9C
پیش فروش ۱۳۳ متری در سعدی,فروش,کوه بیجار,,,,,,,۵ شهریور ۱۴۰۵، ۲۰:۵۴,https://divar.ir/v/gaQKnnvn
ویلا 85 متری...,رهن و اجاره,بازکیاگوراب,۸۵,۱۴۰۳,۱,,,,۲ شهریور ۱۴۰۵، ۰۸:۱۰,https://divar.ir/v/gaLqMP26
فروش زمین ویودار با کاربری مسکونی سند تک برگ,فروش,لیل,,,,"‏۱۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۰,۳۸۳,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۲۰:۴۲,https://divar.ir/v/gaQ-WoDg
فروش زمین در لاهیجان روستای درجیره,فروش,آهندان,,,,"‏۱۱,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۱,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۲۰:۴۰,https://divar.ir/v/gaQ-mZ3S
زیرقیمت بازار هزارسیصدپنجامترزمین باغی روستای گمل,فروش,لیل,,,,"‏۱,۱۰۰,۰۰۰,۰۰۰ تومان","‏۸۱۴,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۲۰:۳۰,https://divar.ir/v/gaAq5UZt
ویلاهای منتخب هفته، لاهیجان و اطراف,فروش,گلستان,۱۲۰,۱۴۰۵,۳,"‏۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵,۰۰۰,۰۰۰ تومان",,۱۹ مرداد ۱۴۰۵، ۱۸:۰۷,https://divar.ir/v/ga5FO5Up
فروش ویلادر دل کوه جنگل ورودخانه معاوضه باآپارتمان,فروش,کوی زمانی,۱۰۰,۱۴۰۰,۲,"‏۱۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۶,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۲۰:۲۶,https://divar.ir/v/gaQuW2fr
فروش فوری سوعیت,فروش,کوی زمانی,۵۰,۱۴۰۴,۱,"‏۶,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۰,۰۰۰,۰۰۰ تومان",همکف,۵ شهریور ۱۴۰۵، ۲۰:۲۲,https://divar.ir/v/gaQqG5VZ
۱۰۰ متر زمین باغی در لاهیجان در ارتفاع باویوی ابدی,فروش,لیل,,,,"‏۳۲۰,۰۰۰,۰۰۰ تومان","‏۳,۲۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۲۰:۱۹,https://divar.ir/v/gaQqmiR3
اجاره ویلایی روستایی,رهن و اجاره,آهندان,۷۰,۱۳۷۹,۱,,,,۵ شهریور ۱۴۰۵، ۲۰:۱۹,https://divar.ir/v/gaQqWfm5
فروش ویلا لاهیجان بازکیاگوراب,فروش,بازکیاگوراب,۷۳,۱۴۰۵,۲,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۰,۰۰۰,۰۰۰ تومان",,۸ مرداد ۱۴۰۵، ۱۷:۴۴,https://divar.ir/v/garxVPuX
فروش فوری ویلای نوساز و کلید نخورده,فروش,گلستان,۱۰۰,۱۴۰۴,۳,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۶,۰۸۶,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۱۶:۱۹,https://divar.ir/v/gaA-V_Ib
فروش دو قطعه زمین ۲۱۲ متری,فروش,لیل,,,,"‏۱۰۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۷۱,۶۹۸,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۹:۵۶,https://divar.ir/v/gaQyFsKF
۱۰۰ متر صفر سند ششدانگ,فروش,جمهوری,,,,,,,۵ شهریور ۱۴۰۵، ۱۹:۵۱,https://divar.ir/v/gaQ-0qPQ
68متری شیک اول خیابان سوستان نزدیک میدان دانشگاه,رهن و اجاره,کوی استادان,۶۸,۱۳۹۶,۲,,,۲,۵ شهریور ۱۴۰۵، ۱۹:۴۷,https://divar.ir/v/gaQKW0fN
فروش واحد نقلی مهرگان,فروش,مهرگان,۷۲,۱۴۰۱,۲,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۴۵,۸۳۳,۰۰۰ تومان",۲ از ۳,۵ شهریور ۱۴۰۵، ۱۸:۵۲,https://divar.ir/v/gaQaFGQm
فروش زمین مسکونی با سند تک برگ پاشاکی زیر قیمت,فروش,لفمجان,,,,"‏۵,۷۰۰,۰۰۰,۰۰۰ تومان","‏۶,۰۴۴,۰۰۰ تومان",,۳۰ مرداد ۱۴۰۵، ۱۱:۵۷,https://divar.ir/v/gaIuwfCE
رهن اجاره ویلا منطقه بازکیاگوراب مبله لوکس لوکس,رهن و اجاره,بازکیاگوراب,۱۵۵,۱۴۰۳,۲,,,,۱۸ مرداد ۱۴۰۵، ۱۸:۰۰,https://divar.ir/v/ga49GfHk
زمین جنب استخر هم بصورت نقد هم تهاتر با واحد,فروش,کوی خزر,,,,"‏۳۵,۷۵۰,۰۰۰,۰۰۰ تومان","‏۱۳۰,۰۰۰,۰۰۰ تومان",,۱۸ مرداد ۱۴۰۵، ۱۴:۴۲,https://divar.ir/v/ga4B2juN
ویلا نقلی شخصی در محیطی آرام,فروش,بازکیاگوراب,۵۰,۱۳۹۷,۲,"‏۳,۸۰۰,۰۰۰,۰۰۰ تومان","‏۳۱,۶۶۶,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۸:۴۵,https://divar.ir/v/gaQS1YWd
ویلایی همراه با زمین پانصد متری، کوهپایه ای .,فروش,آهندان,۷۰,۱۳۸۹,۱,"‏۹,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۹,۶۰۰,۰۰۰ تومان",,۲۸ مرداد ۱۴۰۵، ۱۴:۱۷,https://divar.ir/v/gaFiYdCo
فروش مستقل تریبلکس چند قدمی استخر لاهیجان,فروش,کوی آزادگان,۱۰۰,۱۳۹۰,۳,"‏۱۵,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۵,۰۰۰,۰۰۰ تومان",۱ از ۳,۲۲ مرداد ۱۴۰۵، ۱۱:۰۸,https://divar.ir/v/ga9RHL8L
