عنوان,نوع معامله,محله,متراژ,سال ساخت,تعداد اتاق,قیمت کل,قیمت هر متر,طبقه,تاریخ انتشار,لینک
اپارتمان طبقه دوم ۱۰۰ متری کتشال,رهن و اجاره,لیل,۱۰۰,۱۳۹۷,۲,,,۲ از ۳,۱۴ مرداد ۱۴۰۵، ۲۲:۰۲,https://divar.ir/v/gazBYY64
خونه باغ,فروش,آهندان,۱۱۰,۱۴۰۳,۲,"‏۲۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۳,۴۷۸,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۶:۱۸,https://divar.ir/v/gaOCuco6
اجاره آپارتمان,رهن و اجاره,کوی استادان,۸۰,۱۳۹۷,۲,,,۳,۱۸ مرداد ۱۴۰۵، ۰۱:۲۴,https://divar.ir/v/ga3Ra4cQ
مستقل راه جدا طبقه اول هدایت,فروش,شهرک جانبازان,۷۶,۱۳۹۰,۲,"‏۸,۷۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۴,۴۷۳,۰۰۰ تومان",۱,۴ شهریور ۱۴۰۵، ۱۶:۱۲,https://divar.ir/v/gaO-9A4L
۱۲۴ متر، تک واحدی، ۲خواب، نیما,فروش,رجایی,۱۲۴,۱۴۰۵,۲,"‏۴۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۲۲,۵۸۰,۰۰۰ تومان",۳ از ۵,۹ فروردین ۱۴۰۵، ۰۱:۰۷,https://divar.ir/v/QaIfCPCg
مغازه,رهن و اجاره,انقلاب,۱۵,۱۳۹۸,۱,,,,۴ شهریور ۱۴۰۵، ۱۵:۵۸,https://divar.ir/v/gaOuNyJk
خانه ویلایی سر سبز در لاهیجان,فروش,بازکیاگوراب,۷۵,۱۳۸۲,۲,"‏۱۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۶,۷۲۸,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۵:۴۷,https://divar.ir/v/gaOm9SxG
فروش آپارتمان 74متری  تک واحدی خیابان خرمشهر,فروش,شهید آوینی,۷۴,۱۳۹۰,۲,"‏۸,۵۱۰,۰۰۰,۰۰۰ تومان","‏۱۱۵,۰۰۰,۰۰۰ تومان",۳,۲۸ مرداد ۱۴۰۵، ۲۱:۲۰,https://divar.ir/v/gaFyOwgP
معاوضه آپارتمان در اصفهان با ویلا در گیلان,فروش,آهندان,۱۵۵,۱۳۹۳,۳,"‏۱۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۳,۲۲۵,۰۰۰ تومان",۱,۴ شهریور ۱۴۰۵، ۱۵:۲۹,https://divar.ir/v/gaOW9CG1
فروش زمین مسکونی باغی,فروش,آهندان,,,,"‏۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۴:۰۳,https://divar.ir/v/ga-5O45U
فروش زمین ۵۵۰متر حومه بازکیاگوراب,فروش,بازکیاگوراب,,,,"‏۶,۶۰۰,۰۰۰,۰۰۰ تومان","‏۱۲,۰۰۰,۰۰۰ تومان",,۱۱ مرداد ۱۴۰۵، ۱۷:۰۸,https://divar.ir/v/gavdU-B1
زمین ۵۵۰ متری سنددار خالوباغ کوچه ۳۶,فروش,بازکیاگوراب,,,,"‏۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵,۴۵۴,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۴:۳۶,https://divar.ir/v/gaOickes
لاهیجان,فروش,قیام,,,,"‏۴,۳۰۰,۰۰۰,۰۰۰ تومان","‏۱۲,۰۴۴,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۴:۲۵,https://divar.ir/v/gaOOLAhe
رهن و اجاره _ ۸۰ متر تجاری مستقل طبقه اول,رهن و اجاره,یوسف آباد,۸۰,۱۳۹۷,بدون اتاق,,,,۱۱ مرداد ۱۴۰۵، ۱۴:۰۲,https://divar.ir/v/gavxxpdS
یک واحد آپارتمان کلید نخورده تحویل ۴ ماهه,فروش,جمهوری,۷۶,۱۴۰۵,۲,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۱,۸۴۲,۰۰۰ تومان",۲,۴ شهریور ۱۴۰۵، ۱۴:۲۰,https://divar.ir/v/gaOSc-JV
واحد مستقل راه جدا شیک حیاط دار نزدیک استخر,فروش,قیام,۸۰,۱۳۹۹,۲,"‏۱۰,۷۵۰,۰۰۰,۰۰۰ تومان","‏۱۳۴,۳۷۵,۰۰۰ تومان",همکف,۲۹ مرداد ۱۴۰۵، ۱۰:۵۸,https://divar.ir/v/gaGyqcMI
۲۶۴ متر زمین مسکونی بیجاربنه لاهیجان,فروش,لیالستان,,,,"‏۵,۵۵۰,۰۰۰,۰۰۰ تومان","‏۲۱,۰۲۲,۰۰۰ تومان",,۲۵ مرداد ۱۴۰۵، ۱۵:۲۱,https://divar.ir/v/gaBSqLJZ
واحد ۱۸۱ متری گلستان زوج,فروش,گلستان,۱۸۱,۱۴۰۴,۳,"‏۴۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۲۰,۹۹۴,۰۰۰ تومان",۱ از ۵,۴ شهریور ۱۴۰۵، ۱۳:۴۴,https://divar.ir/v/gaOyLVNC
فروش زمین باغی,فروش,شیخ زاهد,,,,"‏۲۰۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰,۰۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۳:۳۰,https://divar.ir/v/gaOm7K-V
((ویلای لوکس ۴خواب مستر تاپ لوکیشن)),فروش,آهندان,۲۰۰,۱۴۰۴,۴,"‏۲۱,۰۰۰,۰۰۰,۰۰۰ تومان","‏۷۰,۰۰۰,۰۰۰ تومان",,۷ بهمن ۱۴۰۴، ۱۵:۳۱,https://divar.ir/v/Qa4hK6aW
زمین باغی,فروش,لیل,,,,"‏۸۰۰,۰۰۰,۰۰۰ تومان","‏۵۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۳:۰۲,https://divar.ir/v/gaOK7OgW
زمین مسکونی سوستان کوچه کافه تالاب,فروش,لیل,,,,"‏۲۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۴۵,۰۵۴,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۳:۰۲,https://divar.ir/v/gaOKrm44
فروش زمین ۲۱۷ متری در ذاکله بر خوش‌قواره و ارزشمند,فروش,آهندان,,,,"‏۱,۴۵۰,۰۰۰,۰۰۰ تومان","‏۶,۶۸۲,۰۰۰ تومان",,۱۷ تیر ۱۴۰۵، ۲۱:۴۶,https://divar.ir/v/gaON5ptx
فروش ویلا نوساز لاهیجان,فروش,لیل,۱۱۴,۱۴۰۵,۲,"‏۷,۸۰۰,۰۰۰,۰۰۰ تومان","‏۳۷,۵۰۰,۰۰۰ تومان",,۲۲ تیر ۱۴۰۵، ۱۰:۰۱,https://divar.ir/v/gaUVY8JQ
اجاره مغازه در سلمان فارسی,رهن و اجاره,شهرک سلمان فارسی,۱۶,۱۴۰۴,بدون اتاق,,,,۴ شهریور ۱۴۰۵، ۱۲:۳۹,https://divar.ir/v/gaO26JYI
لاهیجان فروش ۱۲۷۹ متر زمین,فروش,بازکیاگوراب,,,,"‏۱۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۱,۷۲۷,۰۰۰ تومان",,۲۹ فروردین ۱۴۰۵، ۲۰:۳۴,https://divar.ir/v/QajHZXfY
فروش زمین تک برگ سند چسبیده به تالاب سوستان,فروش,لیل,,,,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۴۲,۵۰۰,۰۰۰ تومان",,۱۰ خرداد ۱۴۰۵، ۰۸:۱۶,https://divar.ir/v/gabw7-CD
واحد مستقل آزادگان,رهن و اجاره,کوی خزر,۹۷,۱۳۹۰,۳,,,۱,۱ شهریور ۱۴۰۵، ۲۰:۵۲,https://divar.ir/v/gaLuCriR
زمین مسکونی با بر خوب و مناسب، مسکونی,فروش,گلستان,,,,"‏۶,۶۰۰,۰۰۰,۰۰۰ تومان","‏۳۳,۰۰۰,۰۰۰ تومان",,۷ مرداد ۱۴۰۵، ۱۴:۱۵,https://divar.ir/v/gapltrSu
فروش زمین ۲۰۰ متری در میانمحله گلرودبار,فروش,بازکیاگوراب,,,,"‏۱,۷۵۰,۰۰۰,۰۰۰ تومان","‏۸,۷۵۰,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۴:۳۸,https://divar.ir/v/ga2d9U4H
فروش زمین مسکونی ۲۶۰ متری در لفمجان لاهیجان,فروش,لفمجان,,,,"‏۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۷,۶۹۲,۰۰۰ تومان",,۲۱ اسفند ۱۴۰۴، ۲۰:۴۸,https://divar.ir/v/QayWOu2s
فروش زمین مسکونی ۲۸۰ متری با ویوی ابدی در لاهیجان,فروش,لیل,,,,"‏۴,۲۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۵ مرداد ۱۴۰۵، ۰۹:۴۳,https://divar.ir/v/gamlUomB
۲پلاک زمین مسکونی ۲۱۹ متری در لیالستان,فروش,لیالستان,,,,"‏۳,۱۰۰,۰۰۰,۰۰۰ تومان","‏۱۴,۱۵۵,۰۰۰ تومان",,۶ مرداد ۱۴۰۵، ۱۵:۰۰,https://divar.ir/v/gaoJpazb
ویلا مدرن آماده تحویل,فروش,گلستان,۱۰۰,۱۴۰۵,۲,"‏۲,۶۰۰,۰۰۰,۰۰۰ تومان","‏۲۶,۰۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۴۲,https://divar.ir/v/gaNqoTp_
ویلایی نوساز سنددار بیجاربنه پایین,فروش,لیالستان,۸۰,۱۴۰۴,۲,"‏۱۲,۹۰۰,۰۰۰,۰۰۰ تومان","‏۶۹,۷۲۹,۰۰۰ تومان",,۳۰ خرداد ۱۴۰۵، ۰۸:۱۲,https://divar.ir/v/ga2ohHu_
۳۰۰زمین کامل مسکونی در لاهیجان,فروش,آهندان,,,,"‏۴,۲۰۰,۰۰۰,۰۰۰ تومان","‏۱۴,۰۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۳۹,https://divar.ir/v/gaO6Z67X
۱۰۴ متر آپارتمان مستقل ویو دار در سوستان,فروش,لیل,۱۰۴,۱۳۹۵,۲,"‏۹,۵۰۰,۰۰۰,۰۰۰ تومان","‏۹۱,۳۴۶,۰۰۰ تومان",۱ از ۲,۵ مرداد ۱۴۰۵، ۱۱:۳۲,https://divar.ir/v/ganBBaiL
اجاره ویلا باغ,اجاره,بازکیاگوراب,۱۵۰,۱۳۹۸,۳,,,,۱۰ مرداد ۱۴۰۵، ۲۱:۲۴,https://divar.ir/v/gauNCVwz
مستقل نوساز دیلمان اسپیلی معاوضه یا نقد,فروش,شیشه گران,۶۹,۱۴۰۵,۱,"‏۳,۸۰۰,۰۰۰,۰۰۰ تومان","‏۵۵,۰۷۲,۰۰۰ تومان",همکف,۲۲ مرداد ۱۴۰۵، ۲۱:۴۶,https://divar.ir/v/ga-lw_Kl
کارگاه صنعتی,رهن و اجاره,بازکیاگوراب,۱۲۰۰,۱۳۹۲,۴,,,,۲۴ تیر ۱۴۰۵، ۱۱:۳۸,https://divar.ir/v/gaXBUE14
